2021-04-08 00:03:11 epoch:1, time:1430.47s, train_loss:0.70944, val_loss:0.23707, train_acc:0.8224, val_acc:0.9321
2021-04-08 00:25:59 epoch:2, time:1368.65s, train_loss:0.35587, val_loss:0.24335, train_acc:0.9054, val_acc:0.9336
2021-04-08 00:48:20 epoch:3, time:1340.75s, train_loss:0.32349, val_loss:0.23386, train_acc:0.9132, val_acc:0.9360
2021-04-08 01:10:52 epoch:4, time:1352.00s, train_loss:0.30966, val_loss:0.19772, train_acc:0.9178, val_acc:0.9460
2021-04-08 01:33:09 epoch:5, time:1336.91s, train_loss:0.29049, val_loss:0.19974, train_acc:0.9235, val_acc:0.9477
2021-04-08 01:55:39 epoch:6, time:1349.37s, train_loss:0.28824, val_loss:0.19192, train_acc:0.9244, val_acc:0.9449
2021-04-08 02:18:11 epoch:7, time:1352.04s, train_loss:0.28993, val_loss:0.19890, train_acc:0.9247, val_acc:0.9463
2021-04-08 02:40:50 epoch:8, time:1358.61s, train_loss:0.27888, val_loss:0.22187, train_acc:0.9287, val_acc:0.9405
2021-04-08 03:03:28 epoch:9, time:1357.43s, train_loss:0.27455, val_loss:0.19596, train_acc:0.9297, val_acc:0.9482
2021-04-08 03:25:58 epoch:10, time:1350.34s, train_loss:0.26742, val_loss:0.18216, train_acc:0.9306, val_acc:0.9498
2021-04-08 03:48:21 epoch:11, time:1342.69s, train_loss:0.24231, val_loss:0.17529, train_acc:0.9383, val_acc:0.9539
2021-04-08 04:11:03 epoch:12, time:1362.38s, train_loss:0.23136, val_loss:0.16422, train_acc:0.9414, val_acc:0.9554
2021-04-08 04:33:39 epoch:13, time:1355.66s, train_loss:0.23835, val_loss:0.18773, train_acc:0.9403, val_acc:0.9481
2021-04-08 04:56:25 epoch:14, time:1365.24s, train_loss:0.22234, val_loss:0.17832, train_acc:0.9449, val_acc:0.9521
2021-04-08 05:18:53 epoch:15, time:1348.28s, train_loss:0.22420, val_loss:0.15981, train_acc:0.9425, val_acc:0.9580
2021-04-08 05:41:51 epoch:16, time:1377.50s, train_loss:0.22477, val_loss:0.16035, train_acc:0.9426, val_acc:0.9577
2021-04-08 06:04:18 epoch:17, time:1347.10s, train_loss:0.22471, val_loss:0.21910, train_acc:0.9423, val_acc:0.9488
2021-04-08 06:27:22 epoch:18, time:1383.62s, train_loss:0.21393, val_loss:0.19718, train_acc:0.9471, val_acc:0.9518
2021-04-08 06:49:41 epoch:19, time:1339.18s, train_loss:0.21671, val_loss:0.16248, train_acc:0.9445, val_acc:0.9566
2021-04-08 07:12:15 epoch:20, time:1353.22s, train_loss:0.20948, val_loss:0.19286, train_acc:0.9474, val_acc:0.9506
2021-04-08 07:35:03 epoch:21, time:1367.73s, train_loss:0.19245, val_loss:0.16293, train_acc:0.9505, val_acc:0.9551
2021-04-08 07:57:39 epoch:22, time:1355.77s, train_loss:0.18980, val_loss:0.19777, train_acc:0.9516, val_acc:0.9504
2021-04-08 08:20:12 epoch:23, time:1352.88s, train_loss:0.19222, val_loss:0.16752, train_acc:0.9513, val_acc:0.9578
2021-04-08 08:43:03 epoch:24, time:1371.05s, train_loss:0.19912, val_loss:0.15835, train_acc:0.9493, val_acc:0.9567
2021-04-08 09:05:51 epoch:25, time:1367.84s, train_loss:0.18248, val_loss:0.16770, train_acc:0.9548, val_acc:0.9557
2021-04-08 09:28:23 epoch:26, time:1352.19s, train_loss:0.19165, val_loss:0.19258, train_acc:0.9517, val_acc:0.9483
2021-04-08 09:51:08 epoch:27, time:1364.40s, train_loss:0.18772, val_loss:0.15992, train_acc:0.9539, val_acc:0.9560
2021-04-08 10:13:40 epoch:28, time:1351.98s, train_loss:0.18619, val_loss:0.18138, train_acc:0.9526, val_acc:0.9510
2021-04-08 10:36:27 epoch:29, time:1367.03s, train_loss:0.19092, val_loss:0.16752, train_acc:0.9522, val_acc:0.9545
2021-04-08 10:58:58 epoch:30, time:1350.56s, train_loss:0.18887, val_loss:0.16427, train_acc:0.9516, val_acc:0.9559
2021-04-08 11:21:49 epoch:31, time:1370.66s, train_loss:0.16847, val_loss:0.14679, train_acc:0.9573, val_acc:0.9617
2021-04-08 11:44:50 epoch:32, time:1381.13s, train_loss:0.16963, val_loss:0.15240, train_acc:0.9572, val_acc:0.9587
2021-04-08 12:07:25 epoch:33, time:1354.86s, train_loss:0.16870, val_loss:0.16665, train_acc:0.9571, val_acc:0.9563
2021-04-08 12:29:57 epoch:34, time:1352.02s, train_loss:0.16156, val_loss:0.17184, train_acc:0.9598, val_acc:0.9557
2021-04-08 12:52:54 epoch:35, time:1376.26s, train_loss:0.16646, val_loss:0.16905, train_acc:0.9586, val_acc:0.9561
2021-04-08 13:15:06 epoch:36, time:1331.44s, train_loss:0.16764, val_loss:0.14850, train_acc:0.9589, val_acc:0.9593
2021-04-08 13:37:47 epoch:37, time:1361.02s, train_loss:0.16673, val_loss:0.15277, train_acc:0.9584, val_acc:0.9616
2021-04-08 14:00:11 epoch:38, time:1344.06s, train_loss:0.16103, val_loss:0.15050, train_acc:0.9604, val_acc:0.9590
2021-04-08 14:22:45 epoch:39, time:1353.35s, train_loss:0.16702, val_loss:0.14786, train_acc:0.9574, val_acc:0.9614
2021-04-08 14:44:56 epoch:40, time:1331.46s, train_loss:0.16122, val_loss:0.14376, train_acc:0.9609, val_acc:0.9613
2021-04-08 15:07:18 epoch:41, time:1341.60s, train_loss:0.15035, val_loss:0.15082, train_acc:0.9642, val_acc:0.9617
2021-04-08 15:29:43 epoch:42, time:1345.15s, train_loss:0.14810, val_loss:0.14332, train_acc:0.9638, val_acc:0.9638
2021-04-08 15:52:24 epoch:43, time:1361.05s, train_loss:0.15002, val_loss:0.14218, train_acc:0.9624, val_acc:0.9615
2021-04-08 16:15:08 epoch:44, time:1363.82s, train_loss:0.15087, val_loss:0.14702, train_acc:0.9631, val_acc:0.9617
2021-04-08 16:37:55 epoch:45, time:1366.08s, train_loss:0.15408, val_loss:0.16405, train_acc:0.9624, val_acc:0.9581
2021-04-08 17:00:14 epoch:46, time:1339.41s, train_loss:0.14574, val_loss:0.15246, train_acc:0.9648, val_acc:0.9603
2021-04-08 17:22:51 epoch:47, time:1356.96s, train_loss:0.15290, val_loss:0.17467, train_acc:0.9620, val_acc:0.9587
2021-04-08 17:45:11 epoch:48, time:1339.38s, train_loss:0.15021, val_loss:0.15658, train_acc:0.9631, val_acc:0.9604
2021-04-08 18:07:37 epoch:49, time:1345.77s, train_loss:0.14431, val_loss:0.14133, train_acc:0.9650, val_acc:0.9615
2021-04-08 18:30:10 epoch:50, time:1353.00s, train_loss:0.14949, val_loss:0.16151, train_acc:0.9639, val_acc:0.9585
2021-04-08 18:52:57 epoch:51, time:1366.29s, train_loss:0.13183, val_loss:0.13336, train_acc:0.9687, val_acc:0.9647
2021-04-08 19:15:45 epoch:52, time:1367.90s, train_loss:0.13064, val_loss:0.15459, train_acc:0.9686, val_acc:0.9611
2021-04-08 19:38:01 epoch:53, time:1336.57s, train_loss:0.13192, val_loss:0.15252, train_acc:0.9691, val_acc:0.9607
2021-04-08 20:00:55 epoch:54, time:1372.96s, train_loss:0.13668, val_loss:0.14539, train_acc:0.9665, val_acc:0.9617
2021-04-08 20:23:48 epoch:55, time:1373.25s, train_loss:0.13930, val_loss:0.17586, train_acc:0.9664, val_acc:0.9517
2021-04-08 20:46:11 epoch:56, time:1342.39s, train_loss:0.13592, val_loss:0.14362, train_acc:0.9676, val_acc:0.9627
2021-04-08 21:09:19 epoch:57, time:1388.30s, train_loss:0.13897, val_loss:0.14267, train_acc:0.9664, val_acc:0.9633
2021-04-08 21:31:47 epoch:58, time:1347.63s, train_loss:0.12810, val_loss:0.15832, train_acc:0.9693, val_acc:0.9588
2021-04-08 21:54:11 epoch:59, time:1343.88s, train_loss:0.13439, val_loss:0.14454, train_acc:0.9674, val_acc:0.9622
2021-04-08 22:16:46 epoch:60, time:1354.86s, train_loss:0.12976, val_loss:0.14383, train_acc:0.9692, val_acc:0.9639
2021-04-08 22:39:25 epoch:61, time:1358.81s, train_loss:0.11708, val_loss:0.14808, train_acc:0.9719, val_acc:0.9643
2021-04-08 23:02:16 epoch:62, time:1370.89s, train_loss:0.11976, val_loss:0.14901, train_acc:0.9721, val_acc:0.9613
2021-04-08 23:25:09 epoch:63, time:1372.38s, train_loss:0.12280, val_loss:0.13948, train_acc:0.9699, val_acc:0.9631
2021-04-08 23:48:49 epoch:64, time:1420.07s, train_loss:0.12152, val_loss:0.14710, train_acc:0.9716, val_acc:0.9619
2021-04-09 00:12:18 epoch:65, time:1408.81s, train_loss:0.12228, val_loss:0.15746, train_acc:0.9704, val_acc:0.9618
2021-04-09 00:35:09 epoch:66, time:1371.21s, train_loss:0.12051, val_loss:0.14139, train_acc:0.9716, val_acc:0.9635
2021-04-09 00:58:09 epoch:67, time:1378.96s, train_loss:0.11502, val_loss:0.14771, train_acc:0.9732, val_acc:0.9631
2021-04-09 01:20:43 epoch:68, time:1354.62s, train_loss:0.12151, val_loss:0.15770, train_acc:0.9713, val_acc:0.9604
2021-04-09 01:43:28 epoch:69, time:1364.04s, train_loss:0.12061, val_loss:0.14813, train_acc:0.9720, val_acc:0.9632
2021-04-09 02:06:08 epoch:70, time:1360.34s, train_loss:0.12569, val_loss:0.14649, train_acc:0.9699, val_acc:0.9633
2021-04-09 02:28:57 epoch:71, time:1368.29s, train_loss:0.10618, val_loss:0.16206, train_acc:0.9750, val_acc:0.9606
2021-04-09 02:51:40 epoch:72, time:1363.59s, train_loss:0.11239, val_loss:0.14190, train_acc:0.9746, val_acc:0.9640
2021-04-09 03:14:01 epoch:73, time:1340.19s, train_loss:0.10898, val_loss:0.14029, train_acc:0.9749, val_acc:0.9649
2021-04-09 03:37:14 epoch:74, time:1393.27s, train_loss:0.11240, val_loss:0.13233, train_acc:0.9734, val_acc:0.9665
2021-04-09 03:59:17 epoch:75, time:1322.92s, train_loss:0.10828, val_loss:0.13142, train_acc:0.9743, val_acc:0.9661
2021-04-09 04:21:29 epoch:76, time:1332.00s, train_loss:0.10716, val_loss:0.14561, train_acc:0.9749, val_acc:0.9647
2021-04-09 04:44:16 epoch:77, time:1366.17s, train_loss:0.10952, val_loss:0.14202, train_acc:0.9749, val_acc:0.9650
2021-04-09 05:06:48 epoch:78, time:1351.62s, train_loss:0.11099, val_loss:0.15118, train_acc:0.9735, val_acc:0.9616
2021-04-09 05:29:32 epoch:79, time:1364.56s, train_loss:0.10640, val_loss:0.14801, train_acc:0.9752, val_acc:0.9637
2021-04-09 05:52:34 epoch:80, time:1381.08s, train_loss:0.10765, val_loss:0.13689, train_acc:0.9759, val_acc:0.9653
2021-04-09 06:14:22 epoch:81, time:1308.05s, train_loss:0.09921, val_loss:0.14991, train_acc:0.9762, val_acc:0.9635
2021-04-09 06:37:10 epoch:82, time:1368.29s, train_loss:0.09837, val_loss:0.14161, train_acc:0.9776, val_acc:0.9653
2021-04-09 06:59:57 epoch:83, time:1366.06s, train_loss:0.09465, val_loss:0.14134, train_acc:0.9795, val_acc:0.9672
2021-04-09 07:22:37 epoch:84, time:1360.53s, train_loss:0.10223, val_loss:0.13930, train_acc:0.9762, val_acc:0.9644
2021-04-09 07:46:45 epoch:85, time:1447.70s, train_loss:0.10713, val_loss:0.13986, train_acc:0.9761, val_acc:0.9651
2021-04-09 08:10:10 epoch:86, time:1404.41s, train_loss:0.09470, val_loss:0.13487, train_acc:0.9790, val_acc:0.9673
2021-04-09 08:32:49 epoch:87, time:1358.64s, train_loss:0.10056, val_loss:0.16346, train_acc:0.9780, val_acc:0.9623
2021-04-09 08:55:21 epoch:88, time:1352.36s, train_loss:0.10235, val_loss:0.13973, train_acc:0.9772, val_acc:0.9644
2021-04-09 09:17:57 epoch:89, time:1356.10s, train_loss:0.09717, val_loss:0.15248, train_acc:0.9777, val_acc:0.9626
2021-04-09 09:40:32 epoch:90, time:1354.42s, train_loss:0.09899, val_loss:0.14444, train_acc:0.9776, val_acc:0.9627
2021-04-09 10:03:05 epoch:91, time:1352.63s, train_loss:0.09258, val_loss:0.14924, train_acc:0.9794, val_acc:0.9633
2021-04-09 10:25:53 epoch:92, time:1367.77s, train_loss:0.09178, val_loss:0.13275, train_acc:0.9799, val_acc:0.9660
2021-04-09 10:48:23 epoch:93, time:1349.97s, train_loss:0.08384, val_loss:0.15411, train_acc:0.9813, val_acc:0.9642
2021-04-09 11:10:44 epoch:94, time:1341.12s, train_loss:0.09683, val_loss:0.12995, train_acc:0.9783, val_acc:0.9672
2021-04-09 11:33:19 epoch:95, time:1354.28s, train_loss:0.08952, val_loss:0.13484, train_acc:0.9806, val_acc:0.9661
2021-04-09 11:56:13 epoch:96, time:1374.32s, train_loss:0.09069, val_loss:0.14284, train_acc:0.9807, val_acc:0.9648
2021-04-09 12:18:47 epoch:97, time:1353.28s, train_loss:0.08991, val_loss:0.15945, train_acc:0.9797, val_acc:0.9623
2021-04-09 12:41:30 epoch:98, time:1363.10s, train_loss:0.08616, val_loss:0.14901, train_acc:0.9813, val_acc:0.9621
2021-04-09 13:03:54 epoch:99, time:1343.91s, train_loss:0.09104, val_loss:0.15742, train_acc:0.9803, val_acc:0.9617
2021-04-09 13:26:37 epoch:100, time:1363.11s, train_loss:0.08876, val_loss:0.13966, train_acc:0.9810, val_acc:0.9647
